id;title;emoji;content;created_by
1;Yuan Renminbi Centers;HAHA;../fake-data/blob/hipster.txt;1
2;South Dakota envisioneer Music;SAD;../fake-data/blob/hipster.txt;1
3;Bahamian Dollar Investment Account;LIKE;../fake-data/blob/hipster.txt;1
4;copy convergence;WOW;../fake-data/blob/hipster.txt;1
5;Industrial;LIKE;../fake-data/blob/hipster.txt;1
6;capacitor archive;ANGRY;../fake-data/blob/hipster.txt;1
7;compress South Georgia and the South Sandwich Islands;HAHA;../fake-data/blob/hipster.txt;1
8;bifurcated scalable;WOW;../fake-data/blob/hipster.txt;1
9;deliverables reinvent 24 hour;ANGRY;../fake-data/blob/hipster.txt;1
10;monitor 1080p Checking Account;ANGRY;../fake-data/blob/hipster.txt;1
